时间,0-4岁女性人口数(人口抽样调查)(人),5-9岁女性人口数(人口抽样调查)(人),10-14岁女性人口数(人口抽样调查)(人),15-19岁女性人口数(人口抽样调查)(人),20-24岁女性人口数(人口抽样调查)(人),25-29岁女性人口数(人口抽样调查)(人),30-34岁女性人口数(人口抽样调查)(人),35-39岁女性人口数(人口抽样调查)(人),40-44岁女性人口数(人口抽样调查)(人),45-49岁女性人口数(人口抽样调查)(人),50-54岁女性人口数(人口抽样调查)(人),55-59岁女性人口数(人口抽样调查)(人),60-64岁女性人口数(人口抽样调查)(人),65-69岁女性人口数(人口抽样调查)(人),70-74岁女性人口数(人口抽样调查)(人),75-79岁女性人口数(人口抽样调查)(人),80-84岁女性人口数(人口抽样调查)(人),85-89岁女性人口数(人口抽样调查)(人),90-94岁女性人口数(人口抽样调查)(人),95岁以上女性人口数(人口抽样调查)(人)
2017,3865.2916142034114,3516.2076549492426,3374.073678493529,3303.5528925663134,4210.491468208577,5978.002113083128,5370.867911348304,4929.0509392741815,5217.202997434612,6289.216046159515,5799.211893339946,3590.248411258367,4128.925257979508,3188.729031142654,2039.033877437686,1429.7148665002976,976.8524701243226,467.1850344816747,158.27728889688328,39.326565646158116
2016,3790.33040390529,3482.389939197889,3301.1361100292825,3386.6286934843038,4505.79347661826,6261.376513684145,5194.3908631896375,4715.465231572193,5538.868661049603,6140.7794336707775,5745.197130617027,3507.34517654719,4046.2111390227624,2934.4493449589345,1926.2099948273733,1397.6126946103648,941.3736424013769,454.08979731766055,151.76127593761413,33.31345081557384
2015,3709.45190860032,3458.3763284208358,3256.1459037554987,3478.429093308395,4809.657915748981,6353.856260165226,5024.214115165083,4763.502371993635,5758.213679077672,6095.608381962272,5143.369720997431,3783.1485607731256,3911.933879689142,2743.836137832713,1849.607952068485,1390.8775743480003,912.8813205518837,431.5633639841066,141.47873843956626,31.907696332825815
2014,3589.365451146476,3504.33303569364,3244.4914914772476,3666.004108850749,5339.646414716445,5966.137029283122,4959.372694107623,4869.839278122949,6066.983770928902,5935.846512190479,4676.052957927859,3969.152577103207,3749.9416863363813,2571.2877903098715,1776.8003721089078,1356.5042413656327,888.2785373914311,408.7395077561228,142.93717905162032,29.31732778846
2013,3554.7517786045296,3474.2108217479276,3214.5818158083675,3958.6731936557667,5650.763266105346,5650.398276874877,4950.592258990927,5021.886822009008,6174.7661379805495,5869.635141309313,4158.2006396449315,4237.159976502839,3531.3924678545786,2389.219502643431,1722.3841785784218,1362.5047973369885,852.9798316036813,383.4820181450297,122.02806605312969,27.617518438744206
2012,3526.01979440916,3377.9334643950488,3307.8633472664205,4214.440635889393,5984.734454204423,5379.145641219887,4941.869583812366,5240.811337816462,6335.205435237818,5869.034484169008,3655.4448389336876,4245.984228136301,3310.75283663255,2269.573501704069,1713.707984895004,1339.5191119812994,808.9366271258627,351.6749349359496,114.97759769388287,26.125799685416315
2011,3480.469944787371,3298.5814772674685,3385.05497249847,4508.62215543189,6273.50501524176,5209.822198393481,4734.276800129933,5567.8342337512195,6186.678566968999,5814.195456899134,3574.590755923155,4171.081396496185,3061.279382191373,2116.5417404159416,1697.9394328895426,1319.573772123691,781.2027324270068,346.01163193792576,116.59215479445237,25.412619006661668
2009,3094.931698750028,3241.327535266518,3850.0501293577777,4506.998581957208,4998.535776395595,4330.361351981913,4570.688789393177,6123.996726140916,6471.429098718783,5351.695685613389,4798.873849127801,4527.274061662544,3132.046136176744,2272.342886523958,1859.6165962509422,1320.8844998995696,757.867648194914,322.8039650261892,93.12974576518515,25.77391487966379
2008,3048.926335635937,3277.7901929621958,4137.466395592442,4882.541641599937,4606.913382111986,4385.71212562186,4665.171685527878,6228.0042001797165,6431.175807643649,4804.901465480887,5146.112573301621,4311.3398233888065,2921.8173100012646,2181.7002174759723,1887.0281412041024,1289.6833319049892,731.3276386250224,325.547850229228,93.52880432338499,21.410208218606204
2007,2982.5028513407906,3437.5532248878853,4327.758022576865,5166.388962589769,4455.025408437008,4391.558441339941,4905.074006993966,6476.742859450224,6468.740019466006,4239.282180529115,5097.142166615212,4028.429577056023,2784.3214111760444,2173.4379590473604,1872.9980079731547,1213.2083114964682,706.0283274966162,297.43888608012355,87.92008927106791,22.897014399292026
2006,3023.82002002237,3487.8192285182945,4527.464010879827,5460.20161218648,4286.096251590973,4214.788059691481,5243.962551124959,6383.57105845224,6448.046007851318,4215.339127635063,4955.643803042931,3718.275842524227,2638.403100281219,2153.1326691630347,1824.034893255949,1188.2126999512018,685.6387354045474,284.461272476955,84.20318177930787,22.483572098139796
2005,3136.1010806342206,3723.2025308720254,4863.349590474754,5345.466059287523,4132.242124140884,4395.967045583931,5657.141666263388,6453.628033260319,5718.810143033879,4401.086198879698,4727.865232571789,3425.706593626687,2507.9309344070793,2139.490460659825,1777.6779432849835,1189.2370454179106,692.6483838291425,277.9507790228595,84.98564268458661,19.314218976053244
2004,2882.2021140164316,3608.769332795984,5067.505516473607,5464.399602574487,4195.085426534138,4663.868587822659,6114.617096479433,6336.6122204354915,5190.74393108099,4594.36544153735,4415.317037823257,3144.8617653513584,2420.473003395674,2069.741454752946,1705.627957049315,1042.235986161931,630.9225906078296,246.7880373324608,78.73565377693895,17.73886270863842
2003,2918.5561865231043,3786.4955105045783,5435.744259015088,5097.323787899703,4159.157859036667,4845.4306956456885,6318.138986337146,6286.870206061414,4585.438476697305,4773.461240715971,4160.695667902686,2877.8555118691183,2324.961964239531,2125.969496976592,1604.4472502138044,1053.6041144055762,583.8547661321161,241.64103314721643,72.07197552078624,13.737759203108611
