数据库：年度数据,,,,,,,,,,,,,,,,,,,,,
时间：最近20年,,,,,,,,,,,,,,,,,,,,,
时间,男性人口数(人口抽样调查)(人),0-4岁男性人口数(人口抽样调查)(人),5-9岁男性人口数(人口抽样调查)(人),10-14岁男性人口数(人口抽样调查)(人),15-19岁男性人口数(人口抽样调查)(人),20-24岁男性人口数(人口抽样调查)(人),25-29岁男性人口数(人口抽样调查)(人),30-34岁男性人口数(人口抽样调查)(人),35-39岁男性人口数(人口抽样调查)(人),40-44岁男性人口数(人口抽样调查)(人),45-49岁男性人口数(人口抽样调查)(人),50-54岁男性人口数(人口抽样调查)(人),55-59岁男性人口数(人口抽样调查)(人),60-64岁男性人口数(人口抽样调查)(人),65-69岁男性人口数(人口抽样调查)(人),70-74岁男性人口数(人口抽样调查)(人),75-79岁男性人口数(人口抽样调查)(人),80-84岁男性人口数(人口抽样调查)(人),85-89岁男性人口数(人口抽样调查)(人),90-94岁男性人口数(人口抽样调查)(人),95岁以上男性人口数(人口抽样调查)(人)
2017年,586072,36468,34344,32929,32034,38496,51451,44709,41944,44730,53661,48982,30244,34027,25281,15790,10774,6660,2758,660,131
2016年,593087,36703,34666,32773,33199,41366,54225,44070,40992,48342,53194,49491,30264,33810,23878,15545,10744,6446,2613,630,134
2015年,10917046,668449,638535,598685,626249,809143,1007144,794090,769056,932187,976048,818405,606808,604925,425036,276332,195597,111726,44847,11838,1947
2014年,576011,34484,34326,31616,34584,46891,49801,41777,41761,52086,50455,39470,33781,30781,20573,14528,10179,5987,2244,581,106
2013年,573428,34273,33890,31141,36177,50961,46693,41986,43057,53017,49884,35355,35892,29230,19577,13748,10054,5759,2104,555,77
2012年,576354,34694,33252,32370,38909,52033,45257,42539,45524,54913,50563,31554,36136,27928,18728,13991,10125,5428,1859,484,66
2011年,587039,35247,33242,33709,42066,55243,44976,41908,49570,54806,51434,31821,36213,26688,18064,14394,9959,5324,1855,446,73
2009年,591871,33140,34705,39749,44170,44001,37678,38833,52579,55862,45647,42441,39592,28348,20277,16258,10997,5178,1971,361,83
2008年,598339,33352,35314,42560,49438,40003,37497,40627,54028,56636,42061,46290,39294,26778,19823,16556,10545,5197,1888,375,78
2007年,602740,33163,37275,45342,52436,38520,37245,42623,57121,57649,37944,46624,36982,25948,20296,16385,10070,4951,1760,332,75
2006年,604303,33121,38942,48057,55481,37271,35868,45819,56033,57276,38248,45643,34539,24947,20460,16142,9850,4604,1561,366,75
2005年,8584882,499709,577004,721493,749084,499927,539235,711021,813134,732641,575858,622759,462421,342519,286166,224027,135684,66132,20475,4785,810
2004年,637167,34089,41433,54921,56583,39164,43530,59010,61490,50558,45320,43875,31459,24266,20110,16095,9111,4387,1348,355,63
2003年,643400,34509,44193,59219,54997,40027,46629,61870,61929,46740,47753,41095,29401,23345,20974,15833,9033,4137,1330,323,63
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。,,,,,,,,,,,,,,,,,,,,,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,,
