数据库：年度数据
时间：1952-
时间,国民总收入(亿元),国内生产总值(亿元),第一产业增加值(亿元),第二产业增加值(亿元),第三产业增加值(亿元),人均国内生产总值(元)
2018年,896915.6,900309.5,64734.0,366000.9,469574.6,64644
2017年,820099.5,820754.3,62099.5,332742.7,425912.1,59201
2016年,737074.0,740060.8,60139.2,296547.7,383373.9,53680
2015年,683390.5,685992.9,57774.6,282040.3,346178.0,50028
2014年,642097.6,641280.6,55626.3,277571.8,308082.5,47005
2013年,588141.2,592963.2,53028.1,261956.1,277979.1,43684
2012年,537329.0,538580.0,49084.5,244643.3,244852.2,39874
2011年,483392.8,487940.2,44781.4,227038.8,216120.0,36302
2010年,410354.1,412119.3,38430.8,191629.8,182058.6,30808
2009年,347934.9,348517.7,33583.8,160171.7,154762.2,26180
2008年,321229.5,319244.6,32464.1,149956.6,136823.9,24100
2007年,270704.0,270092.3,27674.1,126633.6,115784.6,20494
2006年,219028.5,219438.5,23317.0,104361.8,91759.7,16738
2005年,185998.9,187318.9,21806.7,88084.4,77427.8,14368
2004年,161415.4,161840.2,20904.3,74286.9,66648.9,12487
2003年,136576.3,137422.0,16970.2,62697.4,57754.4,10666
2002年,120480.4,121717.4,16190.2,54105.5,51421.7,9506
2001年,109276.2,110863.1,15502.5,49660.7,45700.0,8717
2000年,99066.1,100280.1,14717.4,45664.8,39897.9,7942
1999年,89366.5,90564.4,14549.0,41080.9,34934.5,7229
1998年,83817.6,85195.5,14618.7,39018.5,31558.3,6860
1997年,78802.9,79715.0,14265.2,37546.0,27903.8,6481
1996年,70779.6,71813.6,13878.3,33828.1,24107.2,5898
1995年,60356.6,61339.9,12020.5,28677.5,20641.9,5091
1994年,48548.2,48637.5,9471.8,22453.1,16712.5,4081
1993年,35599.2,35673.2,6887.6,16473.1,12312.6,3027
1992年,27208.2,27194.5,5800.3,11725.3,9668.9,2334
1991年,22050.3,22005.6,5288.8,9129.8,7587.0,1912
1990年,18923.3,18872.9,5017.2,7744.3,6111.4,1663
1989年,17188.4,17179.7,4228.2,7300.9,5650.6,1536
1988年,15174.4,15180.4,3831.2,6607.4,4741.8,1378
1987年,12166.6,12174.6,3204.5,5274.0,3696.2,1123
1986年,10375.4,10376.2,2764.1,4515.2,3096.9,973
1985年,9123.6,9098.9,2541.7,3886.5,2670.7,866
1984年,7314.2,7278.5,2295.6,3124.8,1858.1,702
1983年,6043.8,6020.9,1960.9,2663.0,1397.0,588
1982年,5380.5,5373.4,1761.7,2397.7,1214.0,533
1981年,4933.7,4935.8,1545.7,2269.1,1121.1,497
1980年,4587.6,4587.6,1359.5,2204.7,1023.4,468
1979年,4100.5,4100.5,1259.0,1925.4,916.1,423
1978年,3678.7,3678.7,1018.5,1755.2,905.1,385
1977年,3250.0,3250.0,942.2,1517.8,790.0,344
1976年,2988.6,2988.6,967.1,1346.0,675.5,321
1975年,3039.5,3039.5,971.2,1378.7,689.6,332
1974年,2827.7,2827.7,945.2,1199.8,682.7,314
1973年,2756.2,2756.2,907.5,1180.4,668.3,313
1972年,2552.4,2552.4,827.4,1091.6,633.3,296
1971年,2456.9,2456.9,826.3,1029.9,600.6,292
1970年,2279.7,2279.7,793.3,918.1,568.3,279
1969年,1962.2,1962.2,736.2,695.0,531.0,247
1968年,1744.1,1744.1,726.3,542.6,475.2,225
1967年,1794.2,1794.2,714.2,608.0,472.0,238
1966年,1888.7,1888.7,702.2,715.4,471.0,257
1965年,1734.0,1734.0,651.1,608.5,474.4,242
1964年,1469.9,1469.9,559.0,519.3,391.6,210
1963年,1248.3,1248.3,497.5,412.8,337.9,183
1962年,1162.2,1162.2,453.1,363.9,345.1,175
1961年,1232.3,1232.3,441.1,393.5,397.7,187
1960年,1470.1,1470.1,340.7,652.6,476.8,220
1959年,1447.5,1447.5,383.8,616.8,446.9,217
1958年,1312.3,1312.3,445.9,483.6,382.8,201
1957年,1071.4,1071.4,430.0,316.6,324.8,168
1956年,1030.7,1030.7,443.9,280.4,306.4,166
1955年,911.6,911.6,421.0,221.5,269.1,150
1954年,859.8,859.8,392.0,210.8,257.0,144
1953年,824.4,824.4,378.0,191.6,254.8,142
1952年,679.1,679.1,342.9,141.1,195.1,119
注：1.1980年以后国民总收入与国内生产总值的差额为国外净要素收入。
　　　2.三次产业分类依据国家统计局2012年制定的《三次产业划分规定》。第一产业是指农、林、牧、渔业（不含农、林、牧、渔服务业）；第二产业是指采矿业（不含开采辅助活动），制造业（不含金属制品、机械和设备修理业），电力、热力、燃气及水生产和供应业，建筑业；第三产业即服务业，是指除第一产业、第二产业以外的其他行业。
　　　3.按照我国国内生产总值（GDP）数据修订制度和国际通行作法，在实施研发支出核算方法改革后，对2016年及以前年度的GDP历史数据进行了系统修订。
数据来源：国家统计局
