时间,国民总收入(亿元),国内生产总值(亿元),第一产业增加值(亿元),第二产业增加值(亿元),第三产业增加值(亿元),人均国内生产总值(元)
2018,896915.6,900309.5,64734.0,366000.9,469574.6,64644.0
2017,820099.5,820754.3,62099.5,332742.7,425912.1,59201.0
2016,737074.0,740060.8,60139.2,296547.7,383373.9,53680.0
2015,683390.5,685992.9,57774.6,282040.3,346178.0,50028.0
2014,642097.6,641280.6,55626.3,277571.8,308082.5,47005.0
2013,588141.2,592963.2,53028.1,261956.1,277979.1,43684.0
2012,537329.0,538580.0,49084.5,244643.3,244852.2,39874.0
2011,483392.8,487940.2,44781.4,227038.8,216120.0,36302.0
2010,410354.1,412119.3,38430.8,191629.8,182058.6,30808.0
2009,347934.9,348517.7,33583.8,160171.7,154762.2,26180.0
2008,321229.5,319244.6,32464.1,149956.6,136823.9,24100.0
2007,270704.0,270092.3,27674.1,126633.6,115784.6,20494.0
2006,219028.5,219438.5,23317.0,104361.8,91759.7,16738.0
2005,185998.9,187318.9,21806.7,88084.4,77427.8,14368.0
2004,161415.4,161840.2,20904.3,74286.9,66648.9,12487.0
2003,136576.3,137422.0,16970.2,62697.4,57754.4,10666.0
2002,120480.4,121717.4,16190.2,54105.5,51421.7,9506.0
2001,109276.2,110863.1,15502.5,49660.7,45700.0,8717.0
2000,99066.1,100280.1,14717.4,45664.8,39897.9,7942.0
1999,89366.5,90564.4,14549.0,41080.9,34934.5,7229.0
1998,83817.6,85195.5,14618.7,39018.5,31558.3,6860.0
1997,78802.9,79715.0,14265.2,37546.0,27903.8,6481.0
1996,70779.6,71813.6,13878.3,33828.1,24107.2,5898.0
1995,60356.6,61339.9,12020.5,28677.5,20641.9,5091.0
1994,48548.2,48637.5,9471.8,22453.1,16712.5,4081.0
1993,35599.2,35673.2,6887.6,16473.1,12312.6,3027.0
1992,27208.2,27194.5,5800.3,11725.3,9668.9,2334.0
1991,22050.3,22005.6,5288.8,9129.8,7587.0,1912.0
1990,18923.3,18872.9,5017.2,7744.3,6111.4,1663.0
1989,17188.4,17179.7,4228.2,7300.9,5650.6,1536.0
1988,15174.4,15180.4,3831.2,6607.4,4741.8,1378.0
1987,12166.6,12174.6,3204.5,5274.0,3696.2,1123.0
1986,10375.4,10376.2,2764.1,4515.2,3096.9,973.0
1985,9123.6,9098.9,2541.7,3886.5,2670.7,866.0
1984,7314.2,7278.5,2295.6,3124.8,1858.1,702.0
1983,6043.8,6020.9,1960.9,2663.0,1397.0,588.0
1982,5380.5,5373.4,1761.7,2397.7,1214.0,533.0
1981,4933.7,4935.8,1545.7,2269.1,1121.1,497.0
1980,4587.6,4587.6,1359.5,2204.7,1023.4,468.0
1979,4100.5,4100.5,1259.0,1925.4,916.1,423.0
1978,3678.7,3678.7,1018.5,1755.2,905.1,385.0
1977,3250.0,3250.0,942.2,1517.8,790.0,344.0
1976,2988.6,2988.6,967.1,1346.0,675.5,321.0
1975,3039.5,3039.5,971.2,1378.7,689.6,332.0
1974,2827.7,2827.7,945.2,1199.8,682.7,314.0
1973,2756.2,2756.2,907.5,1180.4,668.3,313.0
1972,2552.4,2552.4,827.4,1091.6,633.3,296.0
1971,2456.9,2456.9,826.3,1029.9,600.6,292.0
1970,2279.7,2279.7,793.3,918.1,568.3,279.0
1969,1962.2,1962.2,736.2,695.0,531.0,247.0
1968,1744.1,1744.1,726.3,542.6,475.2,225.0
1967,1794.2,1794.2,714.2,608.0,472.0,238.0
1966,1888.7,1888.7,702.2,715.4,471.0,257.0
1965,1734.0,1734.0,651.1,608.5,474.4,242.0
1964,1469.9,1469.9,559.0,519.3,391.6,210.0
1963,1248.3,1248.3,497.5,412.8,337.9,183.0
1962,1162.2,1162.2,453.1,363.9,345.1,175.0
1961,1232.3,1232.3,441.1,393.5,397.7,187.0
1960,1470.1,1470.1,340.7,652.6,476.8,220.0
1959,1447.5,1447.5,383.8,616.8,446.9,217.0
1958,1312.3,1312.3,445.9,483.6,382.8,201.0
1957,1071.4,1071.4,430.0,316.6,324.8,168.0
1956,1030.7,1030.7,443.9,280.4,306.4,166.0
1955,911.6,911.6,421.0,221.5,269.1,150.0
1954,859.8,859.8,392.0,210.8,257.0,144.0
1953,824.4,824.4,378.0,191.6,254.8,142.0
1952,679.1,679.1,342.9,141.1,195.1,119.0
