time,黑龙江,辽宁,吉林,河北,山西,河南,山东,江苏,浙江,上海,湖北,湖南,安徽,江西,福建,广东,广西,海南,云南,贵州,重庆,四川,西藏,新疆,青海,宁夏,甘肃,陕西,内蒙古,北京,天津,香港,澳门,台湾
2000,3807,4184,2682,6674,3247,9488,8998,7327,4680,1609,5646,6562,6093,4149,3410,8650,4751,789,4241,3756,2849,8329,258,1849,517,554,2515,3644,2372,1364,1001,681,43,2227
2001,3811,4194,2691,6699,3272,9555,9041,7359,4729,1668,5658,6596,6128,4186,3445,8733,4788,796,4287,3799,2829,8143,264,1876,523,563,2523,3653,2381,1385,1004,685,44,2240
2002,3813,4203,2699,6735,3294,9613,9082,7406,4776,1713,5672,6629,6144,4222,3476,8842,4822,803,4333,3837,2814,8110,268,1905,529,572,2531,3662,2384,1423,1007,685,45,2252
2003,3815,4210,2704,6769,3314,9667,9125,7458,4857,1766,5685,6663,6163,4254,3502,8963,4857,811,4376,3870,2803,8176,272,1934,534,580,2537,3672,2386,1456,1011,685,45,2260
2004,3817,4217,2709,6809,3335,9717,9180,7523,4925,1835,5698,6698,6228,4284,3529,9111,4889,818,4415,3904,2793,8090,276,1963,539,588,2541,3681,2393,1493,1024,684,46,2268
2005,3820,4221,2716,6851,3355,9380,9248,7588,4991,1890,5710,6326,6120,4311,3557,9194,4660,828,4450,3730,2798,8212,280,2010,543,596,2545,3690,2403,1538,1042,685,47,2277
2006,3823,4271,2723,6898,3375,9392,9309,7656,5072,1964,5693,6342,6110,4339,3585,9442,4719,836,4483,3690,2808,8169,285,2050,548,604,2547,3699,2415,1601,1075,687,49,2287
2007,3824,4298,2730,6943,3393,9360,9367,7723,5155,2064,5699,6355,6118,4368,3612,9660,4768,845,4514,3632,2816,8127,289,2095,552,610,2548,3708,2429,1676,1115,689,50,2295
2008,3825,4315,2734,6989,3411,9429,9417,7762,5212,2141,5711,6380,6135,4400,3639,9893,4816,854,4543,3596,2839,8138,292,2131,554,618,2551,3718,2444,1771,1176,693,51,2303
2009,3826,4341,2740,7034,3427,9487,9470,7810,5276,2210,5720,6406,6131,4432,3666,10130,4856,864,4571,3537,2859,8185,296,2159,557,625,2555,3727,2458,1860,1228,697,53,2311
2010,3833,4375,2747,7194,3574,9405,9588,7869,5447,2303,5728,6570,5957,4462,3693,10441,4610,869,4602,3479,2885,8045,300,2185,563,633,2560,3735,2472,1961,1299,702,54,2316
2011,3834,4383,2749,7241,3593,9388,9637,7899,5463,2347,5758,6596,5968,4488,3720,10505,4645,877,4631,3469,2919,8050,303,2209,568,639,2564,3743,2482,2018,1354,707,55,2322
2012,3834,4389,2750,7288,3611,9406,9685,7920,5477,2380,5779,6639,5988,4504,3748,10594,4682,887,4659,3484,2945,8076,308,2233,573,647,2578,3753,2490,2069,1413,713,56,2331
2013,3835,4390,2751,7333,3630,9413,9733,7939,5498,2415,5799,6691,6030,4522,3774,10644,4719,895,4687,3502,2970,8107,312,2264,578,654,2582,3764,2498,2114,1472,720,57,2337
2014,3833,4391,2752,7384,3648,9436,9789,7960,5508,2426,5816,6737,6083,4542,3806,10724,4754,903,4714,3508,2991,8140,318,2298,583,662,2591,3775,2505,2151,1516,726,58,2343
2015,3812,4382,2753,7425,3664,9480,9847,7976,5539,2415,5852,6783,6144,4566,3839,10849,4796,911,4742,3530,3017,8204,324,2360,588,668,2600,3793,2511,2170,1546,732,59,2348
2016,3799,4378,2733,7470,3682,9532,9947,7999,5590,2420,5885,6822,6196,4592,3874,10999,4838,917,4771,3555,3048,8262,331,2398,593,675,2610,3813,2520,2173,1562,738,60,2352
2017,3789,4369,2717,7520,3702,9559,10006,8029,5657,2418,5902,6860,6255,4622,3911,11169,4885,926,4801,3580,3075,8302,337,2445,598,682,2626,3835,2529,2170,1557,744,62,2357
2018,3773,4359,2704,7556,3718,9605,10047,8051,5737,2424,5917,6899,6324,4648,3941,11346,4926,934,4830,3600,3102,8341,344,2487,603,688,2637,3864,2534,2154,1559,750,63,2362
