数据库：年度数据
时间：1990-
时间,入境游客(万人次),亚洲入境游客(万人次),朝鲜入境游客(万人次),印度入境游客(万人次),印度尼西亚入境游客(万人次),日本入境游客(万人次),马来西亚入境游客(万人次),蒙古入境游客(万人次),菲律宾入境游客(万人次),新加坡入境游客(万人次),韩国入境游客(万人次),泰国入境游客(万人次),非洲入境游客(万人次),欧洲入境游客(万人次),英国入境游客(万人次),德国入境游客(万人次),法国入境游客(万人次),意大利入境游客(万人次),荷兰入境游客(万人次),葡萄牙入境游客(万人次),瑞典入境游客(万人次),瑞士入境游客(万人次),俄罗斯入境游客(万人次),拉丁美洲入境游客(万人次),北美洲入境游客(万人次),加拿大入境游客(万人次),美国入境游客(万人次),大洋洲及太平洋岛屿入境游客(万人次),澳大利亚入境游客(万人次),新西兰入境游客(万人次),其他国家入境游客(万人次)
2018年,3054.30,1912.10,25.10,86.40,71.20,269.10,129.10,191.60,120.50,97.80,419.30,83.30,67.40,604.40,60.80,64.30,50.00,27.80,19.60,5.10,11.00,7.40,241.50,45.40,333.50,85.00,248.50,91.30,75.20,14.60,
2017年,2916.53,1818.47,22.98,82.20,68.31,268.30,123.32,186.45,116.85,94.12,386.38,77.67,62.91,591.17,59.18,63.55,49.47,28.05,19.43,5.64,11.19,7.23,235.68,42.65,311.90,80.60,231.29,89.22,73.43,14.37,0.22
2016年,2815.12,1788.19,21.04,79.97,63.37,258.99,116.54,158.12,113.51,92.46,477.53,75.35,58.88,547.15,59.50,62.49,50.38,26.73,19.96,5.50,11.53,7.26,197.66,39.04,299.09,74.13,224.96,82.55,67.51,13.62,0.22
2015年,2598.54,1659.47,18.83,73.05,54.48,249.77,107.55,101.41,100.40,90.53,444.44,64.15,58.02,491.67,57.96,62.34,48.69,24.61,18.18,5.34,11.84,7.27,158.23,34.98,276.56,67.98,208.58,77.64,63.73,12.54,0.21
2014年,2636.10,1633.10,18.40,71.00,56.70,271.80,113.00,108.30,96.80,97.10,418.20,61.30,59.70,551.40,60.50,66.30,51.70,25.30,18.00,5.20,14.20,8.00,204.60,34.60,276.00,66.70,209.30,81.00,67.20,12.70,0.18
2013年,2629.00,1606.00,20.70,67.70,60.50,287.80,120.70,105.00,99.70,96.70,396.90,65.20,55.30,568.80,62.50,64.90,53.40,25.10,18.90,4.90,15.90,8.10,218.60,35.40,277.00,68.40,208.50,86.30,72.30,12.90,0.22
2012年,2719.15,1662.22,18.06,61.02,62.20,351.82,123.55,101.05,96.20,102.77,406.99,64.76,52.49,594.82,61.84,65.96,52.48,25.20,19.55,4.86,17.16,8.28,242.61,35.31,282.64,70.83,211.81,91.49,77.43,12.83,0.19
2011年,2711.20,1662.32,15.23,60.65,60.87,365.82,124.51,99.42,89.43,106.30,418.54,60.80,48.88,593.78,59.57,63.70,49.31,23.50,19.75,4.70,17.01,7.53,253.63,33.69,286.42,74.80,211.61,85.93,72.62,12.09,0.19
2010年,2612.69,1617.86,11.64,54.93,57.34,373.12,124.52,79.44,82.83,100.37,407.64,63.55,46.36,569.79,57.50,60.86,51.27,22.92,18.91,4.77,15.45,7.43,237.03,30.05,269.49,68.53,200.96,78.93,66.13,11.61,0.21
2009年,2193.75,1377.93,10.56,44.89,46.90,331.75,105.90,57.67,74.89,88.95,319.75,54.18,40.12,459.11,52.88,51.85,42.48,19.14,16.69,4.36,12.58,6.26,174.30,23.10,226.01,55.03,170.98,67.24,56.15,10.04,0.22
2008年,2432.53,1455.10,10.18,43.66,42.63,344.61,104.05,70.53,79.53,87.58,396.04,55.43,37.84,612.33,55.15,52.89,43.00,19.44,18.09,4.39,13.77,6.34,312.34,26.03,232.12,53.47,178.64,68.88,57.15,10.52,0.23
2007年,2610.97,1606.12,11.37,46.25,47.71,397.75,106.20,68.20,83.30,92.20,477.71,61.16,37.91,621.68,60.51,55.67,46.34,21.52,19.41,4.83,14.51,6.46,300.39,24.26,256.15,57.72,190.12,72.85,60.74,10.87,0.31
2006年,2221.03,1358.82,11.01,40.51,43.30,374.59,91.06,63.12,70.42,82.79,392.40,59.20,29.38,527.96,55.26,50.06,40.22,19.53,16.78,4.45,12.96,5.79,240.51,19.58,221.00,49.91,171.03,63.86,53.81,8.86,0.43
2005年,2025.51,1249.99,12.58,35.65,37.76,339.00,89.96,64.20,65.40,75.59,354.53,58.63,23.80,479.14,49.96,45.49,37.20,19.70,14.58,4.38,11.03,5.14,222.39,16.05,198.53,42.98,155.55,57.36,48.30,7.84,0.65
2004年,1693.25,1073.14,11.21,30.94,34.98,333.43,74.19,55.38,54.94,63.68,284.49,46.42,17.34,377.71,41.81,36.53,28.11,12.24,11.74,3.95,8.72,4.07,179.22,13.25,165.67,34.80,130.86,45.19,37.63,6.46,0.96
2003年,1140.29,726.08,7.71,21.91,23.18,225.48,43.01,41.83,45.77,37.81,194.55,27.54,10.42,260.00,28.83,22.20,15.61,6.58,6.79,3.01,5.00,2.37,138.07,8.01,105.29,23.03,82.25,29.98,24.54,4.34,0.51
2002年,1343.95,851.89,7.93,21.36,27.47,292.56,59.24,45.31,50.86,49.71,212.43,38.63,9.85,294.86,34.30,28.18,22.21,9.17,10.04,3.61,6.28,3.24,127.16,9.66,141.26,29.13,112.12,35.32,29.13,5.02,1.11
2001年,1122.64,686.42,7.71,15.94,22.42,238.57,46.86,38.71,40.80,41.50,167.88,29.84,7.32,268.38,30.25,25.34,19.95,7.77,9.30,2.68,5.28,3.08,119.62,7.45,120.31,25.39,94.92,30.97,25.51,4.44,1.79
2000年,1016.04,610.15,7.64,12.09,22.06,220.15,44.10,39.91,36.39,39.94,134.47,24.11,6.56,248.90,28.39,23.91,18.50,7.78,7.60,2.28,5.36,3.07,108.02,8.29,113.28,23.66,89.62,28.18,23.41,3.76,0.68
1999年,843.23,499.27,6.98,8.42,18.29,185.52,37.29,35.45,29.83,35.25,99.20,20.64,5.21,211.27,25.89,21.76,15.56,7.22,7.01,4.02,4.68,2.99,83.30,7.59,95.01,21.37,73.64,24.38,20.35,3.14,0.50
1998年,710.77,400.06,6.12,6.57,10.46,157.21,30.01,26.48,25.65,31.64,63.28,14.43,5.43,187.33,24.29,19.19,13.80,7.25,5.89,3.85,4.06,2.84,69.20,7.46,87.33,19.60,67.73,22.48,18.64,3.00,0.68
