数据库：年度数据
时间：2004-
时间,供水总量(亿立方米),地表水供水总量(亿立方米),地下水供水总量(亿立方米),其他供水总量(亿立方米),用水总量(亿立方米),农业用水总量(亿立方米),工业用水总量(亿立方米),生活用水总量(亿立方米),生态用水总量(亿立方米),人均用水量(立方米/人)
2018年,,,,,6015.50,3693.10,1261.60,859.90,200.90,
2017年,6043.40,4945.50,1016.70,81.20,6043.40,3766.40,1277.00,838.10,161.90,435.91
2016年,6040.16,4912.40,1057.00,70.85,6040.20,3768.00,1308.00,821.60,142.60,438.12
2015年,6103.20,4969.50,1069.20,64.50,6103.20,3852.20,1334.80,793.50,122.70,445.09
2014年,6094.88,4920.46,1116.94,57.46,6094.86,3868.98,1356.10,766.58,103.20,446.75
2013年,6183.45,5007.29,1126.22,49.94,6183.45,3921.52,1406.40,750.10,105.38,455.54
2012年,6131.20,4952.80,1133.80,44.60,6131.20,3902.50,1380.70,739.70,108.30,453.90
2011年,6107.20,4953.30,1109.10,44.80,6107.20,3743.60,1461.80,789.90,111.90,454.40
2010年,6021.99,4881.57,1107.31,33.12,6021.99,3689.14,1447.30,765.83,119.77,450.17
2009年,5965.15,4839.47,1094.52,31.16,5965.15,3723.11,1390.90,748.17,102.96,448.04
2008年,5909.95,4796.42,1084.79,28.74,5909.95,3663.46,1397.08,729.25,120.16,446.15
2007年,5818.67,4723.90,1069.06,25.70,5818.67,3599.51,1403.04,710.39,105.73,441.52
2006年,5794.97,4706.75,1065.52,22.70,5794.97,3664.45,1343.76,693.76,93.00,442.02
2005年,5632.98,4572.19,1038.83,21.96,5632.98,3580.00,1285.20,675.10,92.68,432.07
2004年,5547.80,4504.20,1026.40,17.20,5547.80,3585.70,1228.90,651.20,82.00,428.00
注：2006年以前年份人均资源量类指标按城市人口计算。2006年起修改为按城区人口与城区暂住人口之和计算，以公安部门的户籍统计和暂住人口统计为准。
数据来源：国家统计局
